image_id,path_label,maturation_score,proposed_correction_label,reason
KO_00010,BAND,0.7443767806214088,NEUTROPHIL,"score 0.744 > p90(BAND)=0.716, within p10(NEUTROPHIL)=0.377"
KO_00016,BAND,0.3273795407218123,METAMYELOCYTE,"score 0.327 < p10(BAND)=0.399, within p90(METAMYELOCYTE)=0.424"
KO_00034,BAND,0.38540992449923944,METAMYELOCYTE,"score 0.385 < p10(BAND)=0.399, within p90(METAMYELOCYTE)=0.424"
KO_00039,BAND,0.8174101442107591,NEUTROPHIL,"score 0.817 > p90(BAND)=0.716, within p10(NEUTROPHIL)=0.377"
KO_00054,BAND,0.37320315126734793,METAMYELOCYTE,"score 0.373 < p10(BAND)=0.399, within p90(METAMYELOCYTE)=0.424"
KO_00057,BAND,0.38973772122741523,METAMYELOCYTE,"score 0.390 < p10(BAND)=0.399, within p90(METAMYELOCYTE)=0.424"
KO_00077,BAND,0.31505344757552595,METAMYELOCYTE,"score 0.315 < p10(BAND)=0.399, within p90(METAMYELOCYTE)=0.424"
KO_00086,BAND,0.3837144356571922,METAMYELOCYTE,"score 0.384 < p10(BAND)=0.399, within p90(METAMYELOCYTE)=0.424"
KO_00088,BAND,0.7522358297092075,NEUTROPHIL,"score 0.752 > p90(BAND)=0.716, within p10(NEUTROPHIL)=0.377"
KO_00099,BAND,0.7618621176542408,NEUTROPHIL,"score 0.762 > p90(BAND)=0.716, within p10(NEUTROPHIL)=0.377"
KO_00115,BAND,0.39942034039355423,METAMYELOCYTE,"score 0.399 < p10(BAND)=0.399, within p90(METAMYELOCYTE)=0.424"
KO_00119,BAND,0.7545056223533179,NEUTROPHIL,"score 0.755 > p90(BAND)=0.716, within p10(NEUTROPHIL)=0.377"
KO_00121,BAND,0.735396187337956,NEUTROPHIL,"score 0.735 > p90(BAND)=0.716, within p10(NEUTROPHIL)=0.377"
KO_00122,BAND,0.3864926973053511,METAMYELOCYTE,"score 0.386 < p10(BAND)=0.399, within p90(METAMYELOCYTE)=0.424"
KO_00129,BAND,0.39302006343957463,METAMYELOCYTE,"score 0.393 < p10(BAND)=0.399, within p90(METAMYELOCYTE)=0.424"
KO_00136,BAND,0.36092294349413084,METAMYELOCYTE,"score 0.361 < p10(BAND)=0.399, within p90(METAMYELOCYTE)=0.424"
KO_00140,BAND,0.312422259118189,METAMYELOCYTE,"score 0.312 < p10(BAND)=0.399, within p90(METAMYELOCYTE)=0.424"
KO_00156,BAND,0.8165244101863867,NEUTROPHIL,"score 0.817 > p90(BAND)=0.716, within p10(NEUTROPHIL)=0.377"
KO_00165,BAND,0.7192094098361381,NEUTROPHIL,"score 0.719 > p90(BAND)=0.716, within p10(NEUTROPHIL)=0.377"
KO_00167,BAND,0.7302446754484024,NEUTROPHIL,"score 0.730 > p90(BAND)=0.716, within p10(NEUTROPHIL)=0.377"
KO_00170,BAND,0.7379334104161496,NEUTROPHIL,"score 0.738 > p90(BAND)=0.716, within p10(NEUTROPHIL)=0.377"
KO_00186,BAND,0.8200726613321274,NEUTROPHIL,"score 0.820 > p90(BAND)=0.716, within p10(NEUTROPHIL)=0.377"
KO_09434,METAMYELOCYTE,0.2501739571961972,MYELOCYTE,"score 0.250 < p10(METAMYELOCYTE)=0.255, within p90(MYELOCYTE)=0.441"
